,medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude,pickup_taxizone_id,dropoff_taxizone_id
6350050,2010000001,2010000001,VTS,1,,2010-01-14 19:59:00,2010-01-14 20:06:00,1,7.0,1.49,-73.98172,40.768768,-73.974335,40.788818,142,238.0
6376618,2010000001,2010000001,VTS,1,,2010-01-14 20:48:00,2010-01-14 20:49:00,1,1.0,0.47,-73.963005,40.799126,-73.967468,40.793182,151,238.0
6383523,2010000001,2010000001,VTS,1,,2010-01-14 21:01:00,2010-01-14 21:14:00,1,13.0,2.49,-73.984093,40.770054,-73.954391,40.775589,142,263.0
6392475,2010000001,2010000001,VTS,1,,2010-01-14 21:18:00,2010-01-14 21:36:00,1,18.0,7.02,-73.962219,40.763275,-73.993004,40.695171,141,33.0
6406514,2010000001,2010000001,VTS,1,,2010-01-14 21:45:00,2010-01-14 21:54:00,2,9.0,1.44,-73.994888,40.718239,-73.98098,40.729527,148,79.0
6411180,2010000001,2010000001,VTS,1,,2010-01-14 21:54:00,2010-01-14 22:01:00,1,7.0,1.97,-73.981018,40.729881,-73.976845,40.751633,79,170.0
6416875,2010000001,2010000001,VTS,1,,2010-01-14 22:05:00,2010-01-14 22:17:00,1,12.0,2.29,-73.978088,40.75275,-73.983177,40.77845,162,143.0
6428960,2010000001,2010000001,VTS,1,,2010-01-14 22:29:00,2010-01-14 22:46:00,2,17.0,3.32,-73.980644,40.765224,-73.980774,40.764996,163,163.0
6437709,2010000001,2010000001,VTS,1,,2010-01-14 22:47:00,2010-01-14 23:06:00,1,19.0,4.99,-73.980652,40.765144,-74.011665,40.714481,163,231.0
6449125,2010000001,2010000001,VTS,1,,2010-01-14 23:11:00,2010-01-14 23:26:00,1,15.0,3.1,-74.008568,40.725952,-73.973465,40.748863,125,233.0
6460367,2010000001,2010000001,VTS,1,,2010-01-14 23:37:00,2010-01-14 23:47:00,1,10.0,1.39,-73.990364,40.746731,-74.007751,40.740234,186,158.0
6465136,2010000001,2010000001,VTS,1,,2010-01-14 23:49:00,2010-01-15 00:02:00,1,13.0,2.06,-74.006691,40.739807,-73.984985,40.758648,158,230.0
6470029,2010000001,2010000001,VTS,1,,2010-01-15 00:02:00,2010-01-15 00:07:00,2,5.0,0.55,-73.98436,40.758427,-73.977303,40.754749,230,161.0
6478332,2010000001,2010000001,VTS,1,,2010-01-15 00:26:00,2010-01-15 00:41:00,1,15.0,3.82,-73.997536,40.721554,-73.965126,40.769543,144,237.0
6483968,2010000001,2010000001,VTS,1,,2010-01-15 00:45:00,2010-01-15 00:47:00,1,2.0,0.47,-73.960701,40.76936,-73.9561,40.773121,141,141.0
6486482,2010000001,2010000001,VTS,1,,2010-01-15 00:55:00,2010-01-15 01:14:00,1,19.0,10.53,-73.973221,40.756554,-73.97847,40.64843,162,257.0
6815550,2010000001,2010000001,VTS,1,,2010-01-15 18:21:00,2010-01-15 19:06:00,1,45.0,18.34,-73.78978,40.643734,-73.979034,40.756012,132,161.0
6841551,2010000001,2010000001,VTS,1,,2010-01-15 19:08:00,2010-01-15 19:23:00,1,15.0,2.56,-73.982224,40.757298,-73.985443,40.729233,161,79.0
6853965,2010000001,2010000001,VTS,1,,2010-01-15 19:29:00,2010-01-15 19:53:00,1,24.0,2.69,-73.983971,40.734398,-74.007965,40.723026,107,231.0
6869119,2010000001,2010000001,VTS,1,,2010-01-15 19:55:00,2010-01-15 20:06:00,1,11.0,1.97,-74.007927,40.723389,-73.982574,40.727238,231,79.0
6878461,2010000001,2010000001,VTS,1,,2010-01-15 20:12:00,2010-01-15 20:19:00,1,7.0,0.73,-73.979996,40.737476,-73.992241,40.74271,107,234.0
6883427,2010000001,2010000001,VTS,1,,2010-01-15 20:21:00,2010-01-15 20:40:00,1,19.0,4.83,-73.98848,40.748806,-73.930229,40.766739,164,7.0
6895730,2010000001,2010000001,VTS,1,,2010-01-15 20:45:00,2010-01-15 20:50:00,1,5.0,2.72,-73.917313,40.769905,-73.870605,40.773891,223,138.0
6925198,2010000001,2010000001,VTS,1,,2010-01-15 21:46:00,2010-01-15 22:14:00,2,28.0,18.01,-73.786911,40.641521,-73.984344,40.7579,132,230.0
6940220,2010000001,2010000001,VTS,1,,2010-01-15 22:17:00,2010-01-15 22:29:00,2,12.0,1.76,-73.985641,40.757679,-73.982536,40.739685,230,107.0
6949849,2010000001,2010000001,VTS,1,,2010-01-15 22:36:00,2010-01-15 22:47:00,3,11.0,2.34,-73.989105,40.748322,-73.96447,40.770802,186,237.0
6963506,2010000001,2010000001,VTS,1,,2010-01-15 23:02:00,2010-01-15 23:08:00,1,6.0,1.46,-73.974266,40.761398,-73.990906,40.750568,161,186.0
6969662,2010000001,2010000001,VTS,1,,2010-01-15 23:14:00,2010-01-15 23:22:00,2,8.0,1.39,-73.991714,40.749897,-74.003548,40.732021,186,249.0
6974058,2010000001,2010000001,VTS,1,,2010-01-15 23:23:00,2010-01-15 23:37:00,2,14.0,2.91,-74.002899,40.730938,-73.971245,40.755138,249,233.0
6985214,2010000001,2010000001,VTS,1,,2010-01-15 23:45:00,2010-01-15 23:47:00,2,2.0,0.66,-73.967209,40.760902,-73.961388,40.769421,162,237.0
7313728,2010000001,2010000001,VTS,1,,2010-01-16 18:11:00,2010-01-16 18:28:00,1,17.0,11.6,-73.781921,40.644829,-73.865173,40.770634,132,138.0
7337062,2010000001,2010000001,VTS,1,,2010-01-16 19:00:00,2010-01-16 19:14:00,1,14.0,7.17,-73.782166,40.644798,-73.83429,40.713547,132,95.0
7363405,2010000001,2010000001,VTS,1,,2010-01-16 19:49:00,2010-01-16 20:14:00,2,25.0,15.27,-73.789787,40.643925,-73.921417,40.761475,132,7.0
7407303,2010000001,2010000001,VTS,1,,2010-01-16 21:26:00,2010-01-16 22:06:00,2,40.0,18.49,-73.787834,40.641006,-73.97522,40.765236,132,163.0
7433723,2010000001,2010000001,VTS,1,,2010-01-16 22:25:00,2010-01-16 22:37:00,2,12.0,1.32,-73.995804,40.744064,-73.988136,40.759121,90,230.0
7439945,2010000001,2010000001,VTS,1,,2010-01-16 22:38:00,2010-01-16 22:50:00,4,12.0,1.98,-73.987648,40.760368,-74.005386,40.739979,48,158.0
