taxi_zone,time_stamp,time_interval,arr_weekday,arr_weekend,avg_weekday,avg_weekend,prob_pu_weekday,prob_pu_weekend,c_pu_weekday,c_pu_weekend
193,3,01:00:00,3.98235595703125,4.799804687500003,2.95,4.0,0.9813583314087153,0.9917686454215293,79.647119140625,47.99804687500003
193,4,01:30:00,2.9707580566406255,4.309326171875,2.25,3.8,0.9487355657461678,0.9865573954518208,59.415161132812514,43.09326171875
193,5,02:00:00,2.0482177734374964,3.7294921875,0.85,2.5,0.87103545707362,0.97599497720726,40.96435546874993,37.294921875
193,6,02:30:00,2.398388671875002,4.017734375000003,1.5,3.2,0.9091357524886658,0.9820063142626959,47.96777343750004,40.177343750000034
193,7,03:00:00,1.8669433593750027,3.25689697265625,0.75,2.1,0.8454045168120574,0.96149229672571,37.33886718750006,32.5689697265625
193,8,03:30:00,2.283315429687501,2.325629882812498,1.3,1.7,0.8980543478429347,0.9022781286655709,45.666308593750024,23.25629882812498
193,9,04:00:00,1.6857226562499978,4.1847729492187495,0.85,3.1,0.8146895322109581,0.9847743374519352,33.714453124999956,41.8477294921875
193,10,04:30:00,2.1937500000000014,2.6134375000000034,1.5,1.6,0.8885021532580694,0.9267177972714953,43.87500000000003,26.134375000000034
193,11,05:00:00,3.107177734375,3.406831054687504,2.5,2.2,0.9552729911220132,0.9668539277882684,62.1435546875,34.06831054687504
193,12,05:30:00,3.7048461914062503,3.1655126953125006,3.3,2.7,0.9753959986165228,0.9578074956313405,74.096923828125,31.655126953125006
193,13,06:00:00,4.997641601562503,4.262808837890626,4.4,4.1,0.9932461434841243,0.9859173091906228,99.95283203125005,42.628088378906256
193,14,06:30:00,6.780992431640624,5.399121093750001,6.05,4.8,0.9988648522174566,0.9954794476611815,135.61984863281248,53.99121093750001
193,15,07:00:00,7.301982421875,6.15106689453125,7.05,5.9,0.9993257991010958,0.9978687932161943,146.03964843749998,61.5106689453125
193,16,07:30:00,8.75939666748047,5.132617187500004,8.35,4.0,0.9998430207092678,0.9940989040288543,175.1879333496094,51.326171875000036
193,17,08:00:00,10.95257110595703,5.471323242187502,10.15,4.7,0.999982487070232,0.9957943366368112,219.05142211914062,54.71323242187502
193,18,08:30:00,8.048671875000002,4.594165039062501,7.2,4.4,0.9996804739887188,0.9898893407368758,160.97343750000005,45.941650390625014
193,19,09:00:00,6.7013055419921885,5.630185546875001,6.05,5.4,0.9987706940559529,0.9964120904598365,134.02611083984377,56.30185546875001
193,20,09:30:00,5.0050598144531255,5.3157958984375,4.25,5.0,0.9932960596562893,0.9950866333421083,100.10119628906251,53.157958984375
193,21,10:00:00,4.665904541015625,5.4754150390625,4.05,4.9,0.9905892680206176,0.9958115101976954,93.31809082031249,54.754150390625
193,22,10:30:00,4.432822265625,5.852478027343751,3.9,5.5,0.9881190887759144,0.9971272284758894,88.6564453125,58.52478027343751
193,23,11:00:00,3.19089111328125,5.51309814453125,2.7,4.9,0.9588648015198556,0.9959664086439981,63.817822265625,55.1309814453125
193,24,11:30:00,2.841964111328126,5.364279785156249,2.45,4.9,0.9416889759263003,0.9953191697697326,56.839282226562524,53.64279785156249
193,25,12:00:00,4.118681640624999,4.839371337890626,3.4,4.1,0.9837340553268741,0.9920879735203028,82.37363281249998,48.393713378906256
193,26,12:30:00,2.866846923828126,3.4086718750000005,2.45,3.2,0.943122015242094,0.9669148876260074,57.336938476562516,34.08671875
193,27,13:00:00,3.7813781738281262,4.573916015624999,3.25,3.8,0.977208740546581,0.9896825228974729,75.62756347656253,45.73916015624999
193,28,13:30:00,3.570366210937501,3.66331298828125,2.6,3.1,0.9718544554135057,0.9743525977239405,71.40732421875002,36.6331298828125
193,29,14:00:00,3.902354736328124,4.010771484374999,3.15,3.4,0.9798056968439449,0.9818805889992863,78.04709472656248,40.10771484374999
193,30,14:30:00,2.7775207519531238,4.092285156249998,2.15,3.4,0.9378074929515855,0.9832989745332493,55.55041503906247,40.922851562499986
193,31,15:00:00,3.022456054687501,2.827207031250001,2.3,2.4,0.951318493030061,0.94082209488994,60.449121093750016,28.27207031250001
193,32,15:30:00,2.900032958984373,2.78947265625,2.15,2.1,0.9449785934231574,0.9385463874498663,58.00065917968746,27.8947265625
193,33,16:00:00,2.384121093749999,2.884384765625002,1.8,2.2,0.9078300472623153,0.9441108361039247,47.682421874999974,28.84384765625002
193,34,16:30:00,2.0922509765625015,4.1105468750000025,1.3,3.2,0.8765909679064441,0.9836011960222935,41.84501953125003,41.10546875000003
193,35,17:00:00,3.0986718750000026,3.9859497070312506,1.95,3.5,0.9548909268854132,0.9814252046703507,61.97343750000005,39.85949707031251
193,36,17:30:00,3.844599609375002,3.412280273437501,2.8,3.0,0.9786050338096712,0.9670340567596406,76.89199218750004,34.122802734375014
193,37,18:00:00,3.5252929687500014,3.312900390625001,3.0,2.8,0.9705568198262718,0.963589583970781,70.50585937500003,33.12900390625001
